"NAME","zipcodetabulationarea","B19013_001"
"ZCTA5 11424","11424",NA
"ZCTA5 11358","11358",68079
"ZCTA5 11367","11367",50578
"ZCTA5 11692","11692",36875
"ZCTA5 11694","11694",73196
"ZCTA5 11411","11411",82703
"ZCTA5 11385","11385",50811
"ZCTA5 11413","11413",77352
"ZCTA5 11426","11426",78151
"ZCTA5 11361","11361",72599
"ZCTA5 11697","11697",86941
"ZCTA5 11412","11412",69796
"ZCTA5 11415","11415",55515
"ZCTA5 11427","11427",69753
"ZCTA5 11364","11364",73010
"ZCTA5 11375","11375",72394
"ZCTA5 11377","11377",49415
"ZCTA5 11360","11360",79553
"ZCTA5 11691","11691",38415
"ZCTA5 11451","11451",NA
"ZCTA5 11421","11421",55120
"ZCTA5 11366","11366",77244
"ZCTA5 11001","11001",99974
"ZCTA5 11422","11422",82525
"ZCTA5 11420","11420",61587
"ZCTA5 11434","11434",57027
"ZCTA5 11436","11436",58925
"ZCTA5 11433","11433",41274
"ZCTA5 11359","11359",NA
"ZCTA5 11435","11435",54086
